FREQ,TIME_FORMAT,TIME_PERIOD,EXPEND,UNIT,GEO,OBS_STATUS,OBS_VALUE,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,OBS_STATUS_DESC,EXPEND_DESC,UNIT_DESC,GEO_DESC
A,P1Y,2015,INV_VEN,PC_GDP,CZ,,0.002,Annual,Annual,Year 2015,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Czechia
A,P1Y,2007,INV_VEN,PC_GDP,DE,,0.034,Annual,Annual,Year 2007,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Germany
A,P1Y,2008,INV_VEN,PC_GDP,DE,,0.039,Annual,Annual,Year 2008,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Germany
A,P1Y,2009,INV_VEN,PC_GDP,DE,,0.029,Annual,Annual,Year 2009,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Germany
A,P1Y,2010,INV_VEN,PC_GDP,DE,,0.029,Annual,Annual,Year 2010,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Germany
A,P1Y,2011,INV_VEN,PC_GDP,DE,,0.029,Annual,Annual,Year 2011,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Germany
A,P1Y,2012,INV_VEN,PC_GDP,DE,,0.021,Annual,Annual,Year 2012,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Germany
A,P1Y,2013,INV_VEN,PC_GDP,DE,,0.023,Annual,Annual,Year 2013,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Germany
A,P1Y,2014,INV_VEN,PC_GDP,DE,,0.021,Annual,Annual,Year 2014,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Germany
A,P1Y,2015,INV_VEN,PC_GDP,DE,,0.025,Annual,Annual,Year 2015,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Germany
A,P1Y,2007,INV_VEN,PC_GDP,DK,,0.092,Annual,Annual,Year 2007,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Denmark
A,P1Y,2008,INV_VEN,PC_GDP,DK,,0.074,Annual,Annual,Year 2008,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Denmark
A,P1Y,2009,INV_VEN,PC_GDP,DK,,0.051,Annual,Annual,Year 2009,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Denmark
A,P1Y,2010,INV_VEN,PC_GDP,DK,,0.059,Annual,Annual,Year 2010,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Denmark
A,P1Y,2011,INV_VEN,PC_GDP,DK,,0.067,Annual,Annual,Year 2011,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Denmark
A,P1Y,2012,INV_VEN,PC_GDP,DK,,0.07,Annual,Annual,Year 2012,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Denmark
A,P1Y,2013,INV_VEN,PC_GDP,DK,,0.078,Annual,Annual,Year 2013,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Denmark
A,P1Y,2014,INV_VEN,PC_GDP,DK,,0.075,Annual,Annual,Year 2014,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Denmark
A,P1Y,2015,INV_VEN,PC_GDP,DK,,0.109,Annual,Annual,Year 2015,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Denmark
A,P1Y,2007,INV_VEN,PC_GDP,EL,,0,Annual,Annual,Year 2007,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Greece
A,P1Y,2008,INV_VEN,PC_GDP,EL,,0.002,Annual,Annual,Year 2008,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Greece
A,P1Y,2009,INV_VEN,PC_GDP,EL,,0.006,Annual,Annual,Year 2009,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Greece
A,P1Y,2010,INV_VEN,PC_GDP,EL,,0.002,Annual,Annual,Year 2010,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Greece
A,P1Y,2011,INV_VEN,PC_GDP,EL,,0.004,Annual,Annual,Year 2011,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Greece
A,P1Y,2012,INV_VEN,PC_GDP,EL,,0,Annual,Annual,Year 2012,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Greece
A,P1Y,2013,INV_VEN,PC_GDP,EL,,0.001,Annual,Annual,Year 2013,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Greece
A,P1Y,2014,INV_VEN,PC_GDP,EL,,0,Annual,Annual,Year 2014,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Greece
A,P1Y,2015,INV_VEN,PC_GDP,EL,,0,Annual,Annual,Year 2015,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Greece
A,P1Y,2007,INV_VEN,PC_GDP,ES,,0.034,Annual,Annual,Year 2007,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Spain
A,P1Y,2008,INV_VEN,PC_GDP,ES,,0.044,Annual,Annual,Year 2008,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Spain
A,P1Y,2009,INV_VEN,PC_GDP,ES,,0.013,Annual,Annual,Year 2009,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Spain
A,P1Y,2010,INV_VEN,PC_GDP,ES,,0.01,Annual,Annual,Year 2010,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Spain
A,P1Y,2011,INV_VEN,PC_GDP,ES,,0.012,Annual,Annual,Year 2011,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Spain
A,P1Y,2012,INV_VEN,PC_GDP,ES,,0.009,Annual,Annual,Year 2012,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Spain
A,P1Y,2013,INV_VEN,PC_GDP,ES,,0.008,Annual,Annual,Year 2013,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Spain
A,P1Y,2014,INV_VEN,PC_GDP,ES,,0.008,Annual,Annual,Year 2014,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Spain
A,P1Y,2015,INV_VEN,PC_GDP,ES,,0.01,Annual,Annual,Year 2015,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Spain
A,P1Y,2007,INV_VEN,PC_GDP,FI,,0.07,Annual,Annual,Year 2007,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Finland
A,P1Y,2008,INV_VEN,PC_GDP,FI,,0.059,Annual,Annual,Year 2008,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Finland
A,P1Y,2009,INV_VEN,PC_GDP,FI,,0.048,Annual,Annual,Year 2009,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Finland
A,P1Y,2010,INV_VEN,PC_GDP,FI,,0.053,Annual,Annual,Year 2010,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Finland
A,P1Y,2011,INV_VEN,PC_GDP,FI,,0.039,Annual,Annual,Year 2011,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Finland
A,P1Y,2012,INV_VEN,PC_GDP,FI,,0.04,Annual,Annual,Year 2012,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Finland
A,P1Y,2013,INV_VEN,PC_GDP,FI,,0.049,Annual,Annual,Year 2013,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Finland
A,P1Y,2014,INV_VEN,PC_GDP,FI,,0.049,Annual,Annual,Year 2014,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Finland
A,P1Y,2015,INV_VEN,PC_GDP,FI,,0.047,Annual,Annual,Year 2015,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Finland
A,P1Y,2007,INV_VEN,PC_GDP,FR,,0.049,Annual,Annual,Year 2007,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,France
A,P1Y,2008,INV_VEN,PC_GDP,FR,,0.057,Annual,Annual,Year 2008,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,France
A,P1Y,2009,INV_VEN,PC_GDP,FR,,0.048,Annual,Annual,Year 2009,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,France
A,P1Y,2010,INV_VEN,PC_GDP,FR,,0.042,Annual,Annual,Year 2010,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,France
A,P1Y,2011,INV_VEN,PC_GDP,FR,,0.035,Annual,Annual,Year 2011,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,France
A,P1Y,2012,INV_VEN,PC_GDP,FR,,0.032,Annual,Annual,Year 2012,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,France
A,P1Y,2013,INV_VEN,PC_GDP,FR,,0.037,Annual,Annual,Year 2013,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,France
A,P1Y,2014,INV_VEN,PC_GDP,FR,,0.035,Annual,Annual,Year 2014,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,France
A,P1Y,2015,INV_VEN,PC_GDP,FR,,0.034,Annual,Annual,Year 2015,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,France
A,P1Y,2007,INV_VEN,PC_GDP,HU,,0.006,Annual,Annual,Year 2007,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Hungary
A,P1Y,2008,INV_VEN,PC_GDP,HU,,0.01,Annual,Annual,Year 2008,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Hungary
A,P1Y,2009,INV_VEN,PC_GDP,HU,,0.001,Annual,Annual,Year 2009,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Hungary
A,P1Y,2010,INV_VEN,PC_GDP,HU,,0.018,Annual,Annual,Year 2010,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Hungary
A,P1Y,2011,INV_VEN,PC_GDP,HU,,0.03,Annual,Annual,Year 2011,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Hungary
A,P1Y,2012,INV_VEN,PC_GDP,HU,,0.068,Annual,Annual,Year 2012,No data,"Venture capital investment (seed, start-up and later stage) ",Percentage of GDP,Hungary
