x,y
42.2582,0.241246
41.5672,-6.99409
41.0669,-7.38674
28.0797,-28.84
42.2573,0.2403
42.229,0.299314
38.2457,-1.34791
38.343,2.62185
38,0.603008
7.76841,-20.7976
35.0297,-1.64854
7.76414,-20.7984
26.4072,12.7281
35.2128,-26.0527
9.40989,-43.7985
9.42056,-43.798
9.73043,-22.957
14.2298,-43.1428
39.9259,-0.818025
14.4963,-42.939
23.9226,-17.4714
25.4152,-2.91837
34.8313,-23.6206
34.5266,-8.70129
27.6238,0.102222
31.0845,-0.882766
31.8903,-4.57929
34.8313,-23.6205
41.9657,0.105287
38.7389,0.903349
35.8751,-1.34714
38.9611,4.9299
33.5781,-11.1122
24.1277,-8.61864
30.1978,-1.08453
41.6448,-1.16753
35.2563,-3.77132
22.744,-21.3053
46.9934,-1.80882
7.87571,-20.7438
7.87571,-20.7438
35.351,-11.1384
14.5933,-42.434
36.063,-24.6797
42.1632,2.07987
32.1142,15.9843
24.4513,-13.3069
24.2976,-18.3491
31.1316,-1.12656
4.68334,-5.8229
36.9452,-10.0158
33.859,1.13203
33.8327,1.10555
26.8664,-13.3027
28.9049,-11.572
39.1516,-1.79959
29.328,-30.6102
28.439,-6.94921
32.7074,-2.35967
26.6736,-3.53084
26.9783,-16.5521
24.5527,-13.5538
32.6772,-2.22405
39.2792,-0.902898
44.121,-0.506354
44.1211,-0.506528
32.7532,-2.03333
37.6243,5.04149
20.4911,-24.9721
37.1486,-23.2392
38.2214,-0.806406
30.2916,-9.68747
30.3775,-9.72484
35.5891,-10.643
24.2502,-26.4207
20.2045,-19.1897
20.2046,-19.1898
44.6187,0.419342
36.1635,-1.4806
36.0407,-25.4184
31.1768,-0.960516
14.3622,-43.6301
22.6313,-15.5213
14.2837,-43.1848
11.5511,-20.8522
31.7222,0.505116
34.8313,-26.9078
30.5914,-4.97226
36.0037,-26.356
42.1767,0.665333
25.6915,-10.9897
34.8313,-26.9078
34.8244,-26.913
30.6721,-4.95576
37.5014,13.9585
31.9811,16.0082
44.6643,0.241637
32.2988,-4.55438
43.8768,-2.63777
33.0742,-7.09754
30.6972,-7.16479
32.0396,-5.75364
33.0748,-7.11193
32.6715,-8.25302
31.6487,-3.10547
32.6715,-8.253
14.3474,-43.6393
28.5459,-4.5927
21.4386,-16.6729
24.4468,-13.6014
34.9833,-23.6923
33.6285,-11.1271
33.6109,-11.1412
24.4738,-25.2719
34.9832,-23.6924
27.4842,-22.5813
30.5928,-6.91273
37.4392,-0.814475
36.2097,-6.18996
